"DRXFDCD","DRXFCSD","DRXFCLD"
1.1e+07,"MILK, HUMAN","Milk, human"
11100000,"MILK, NFS","Milk, NFS"
11111000,"MILK, WHOLE","Milk, whole"
11111100,"MILK, LOW SODIUM, WHOLE","Milk, low sodium, whole"
11111150,"MILK, CALCIUM FORTIFIED, WHOLE","Milk, calcium fortified, whole"
11111160,"MILK, CALCIUM FORTIFIED, LOW FAT (1%)","Milk, calcium fortified, low fat (1%)"
11111170,"MILK, CALCIUM FORTIFIED, FAT FREE (SKIM)","Milk, calcium fortified, fat free (skim)"
11112110,"MILK, REDUCED FAT (2%)","Milk, reduced fat (2%)"
11112120,"MILK, ACIDOPHILUS, LOW FAT (1%)","Milk, acidophilus, low fat (1%)"
11112130,"MILK, ACIDOPHILUS, REDUCED FAT (2%)","Milk, acidophilus, reduced fat (2%)"
11112210,"MILK, LOW FAT (1%)","Milk, low fat (1%)"
11113000,"MILK, FAT FREE (SKIM)","Milk, fat free (skim)"
11114300,"MILK, LACTOSE FREE, LOW FAT (1%)","Milk, lactose free, low fat (1%)"
11114320,"MILK, LACTOSE FREE, FAT FREE (SKIM)","Milk, lactose free, fat free (skim)"
11114330,"MILK, LACTOSE FREE, REDUCED FAT (2%)","Milk, lactose free, reduced fat (2%)"
11114350,"MILK, LACTOSE FREE, WHOLE","Milk, lactose free, whole"
11115000,"BUTTERMILK, FAT FREE (SKIM)","Buttermilk, fat free (skim)"
11115100,"BUTTERMILK, LOW FAT (1%)","Buttermilk, low fat (1%)"
11115200,"BUTTERMILK, REDUCED FAT (2%)","Buttermilk, reduced fat (2%)"
11115300,"BUTTERMILK, WHOLE","Buttermilk, whole"
11115400,"KEFIR, NS AS TO FAT CONTENT","Kefir, NS as to fat content"
11116000,"GOAT'S MILK, WHOLE","Goat's milk, whole"
11120000,"MILK, DRY, RECONSTITUTED, NS AS TO FAT CONTENT","Milk, dry, reconstituted, NS as to fat content"
11121100,"MILK, DRY, RECONSTITUTED, WHOLE","Milk, dry, reconstituted, whole"
11121210,"MILK, DRY, RECONSTITUTED, LOW FAT (1%)","Milk, dry, reconstituted, low fat (1%)"
11121300,"MILK, DRY, RECONSTITUTED, FAT FREE (SKIM)","Milk, dry, reconstituted, fat free (skim)"
11210050,"MILK, EVAPORATED, NS AS TO FAT CONTENT","Milk, evaporated, NS as to fat content"
11211050,"MILK, EVAPORATED, WHOLE","Milk, evaporated, whole"
11211400,"MILK, EVAPORATED, REDUCED FAT (2%)","Milk, evaporated, reduced fat (2%)"
11212050,"MILK, EVAPORATED, FAT FREE (SKIM)","Milk, evaporated, fat free (skim)"
11220000,"MILK, CONDENSED, SWEETENED","Milk, condensed, sweetened"
11300100,"NON-DAIRY MILK, NFS","Non-dairy milk, NFS"
11320000,"SOY MILK","Soy milk"
11320100,"SOY MILK, LIGHT","Soy milk, light"
11320200,"SOY MILK, NONFAT","Soy milk, nonfat"
11321000,"SOY MILK, CHOCOLATE","Soy milk, chocolate"
11321100,"SOY MILK, LIGHT, CHOCOLATE","Soy milk, light, chocolate"
11321200,"SOY MILK, NONFAT, CHOCOLATE","Soy milk, nonfat, chocolate"
11350000,"ALMOND MILK, SWEETENED","Almond milk, sweetened"
11350010,"ALMOND MILK, SWEETENED, CHOCOLATE","Almond milk, sweetened, chocolate"
11350020,"ALMOND MILK, UNSWEETENED","Almond milk, unsweetened"
11350030,"ALMOND MILK, UNSWEETENED, CHOCOLATE","Almond milk, unsweetened, chocolate"
11360000,"RICE MILK","Rice milk"
11370000,"COCONUT MILK","Coconut milk"
11400000,"YOGURT, NFS","Yogurt, NFS"
11400010,"YOGURT, GREEK, NS AS TO TYPE OF MILK OR FLAVOR","Yogurt, Greek, NS as to type of milk or flavor"
11410000,"YOGURT, NS AS TO TYPE OF MILK OR FLAVOR","Yogurt, NS as to type of milk or flavor"
11411010,"YOGURT, NS AS TO TYPE OF MILK, PLAIN","Yogurt, NS as to type of milk, plain"
11411100,"YOGURT, WHOLE MILK, PLAIN","Yogurt, whole milk, plain"
11411200,"YOGURT, LOW FAT MILK, PLAIN","Yogurt, low fat milk, plain"
11411300,"YOGURT, NONFAT MILK, PLAIN","Yogurt, nonfat milk, plain"
11411390,"YOGURT, GREEK, NS AS TO TYPE OF MILK, PLAIN","Yogurt, Greek, NS as to type of milk, plain"
11411400,"YOGURT, GREEK, WHOLE MILK, PLAIN","Yogurt, Greek, whole milk, plain"
11411410,"YOGURT, GREEK, LOW FAT MILK, PLAIN","Yogurt, Greek, low fat milk, plain"
